report_number,collision_date,collision_time,primary_road,secondary_road,collision_day_of_week,number_of_parties,primary_collision_factor,hit_and_run,collision_type,involved_with,pedestrian_action,reporting_district,police_beat,violation,timestamp,intersection,Latitude,Longitude,Accuracy Score,Accuracy Type,City,State,County,Zip
2022-0002077,2022-03-07,03:39:00,NEVIN AVE,2ND ST,Monday,,Improper Turning,No,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,,6,22107,2022-03-07 03:39:00,"NEVIN AVE AND 2ND ST, RICHMOND, CA",37.936827,-122.36767,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0002081,2022-03-07,08:02:00,PARKER RD,BARNARD ST,Monday,,Pedestrian Violation,No,Vehicle - Pedestrian,Pedestrian,Crossing Not In Crosswalk,NORTHERN,8,21950(b),2022-03-07 08:02:00,"PARKER RD AND BARNARD ST, RICHMOND, CA",37.947523,-122.384032,0.5,place,Richmond,CA,Contra Costa County,94801
2022-0002092,2022-03-06,19:00:00,3RD ST,BISSELL AVE,Sunday,,Improper Turning,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,6,22107,2022-03-06 19:00:00,"3RD ST AND BISSELL AVE, RICHMOND, CA",37.934064,-122.366668,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0002099,2022-03-07,16:26:00,HELLINGS AVE,18TH ST,Monday,,Unknown,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,4,,2022-03-07 16:26:00,"HELLINGS AVE AND 18TH ST, RICHMOND, CA",37.948125,-122.352076,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0002100,2022-03-07,17:16:00,MACDONALD AVE,1ST ST,Monday,,Improper Turning,No,Other,Non - Collision,No Pedestrian Involved,CENTRAL,6,22107,2022-03-07 17:16:00,"MACDONALD AVE AND 1ST ST, RICHMOND, CA",37.935696,-122.368678,0.9,intersection,Richmond,CA,Contra Costa County,94801
2022-0002106,2022-03-07,19:48:00,23RD ST,GARVIN AVE,Monday,,Auto R/W Violation,No,Not Stated,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,4,21804(a),2022-03-07 19:48:00,"23RD ST AND GARVIN AVE, RICHMOND, CA",37.943629,-122.347471,0.79,intersection,Richmond,CA,Contra Costa County,94804
2022-0002111,2022-03-08,01:23:00,HARBOUR WAY,RIPLEY AVE,Tuesday,,Improper Turning,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,,5,22107,2022-03-08 01:23:00,"HARBOUR WAY AND RIPLEY AVE, RICHMOND, CA",37.940364,-122.359976,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0002119,2022-03-08,08:59:00,MACDONALD AVE,22ND ST,Tuesday,,Improper Turning,Misdemeanor,Rear-End,Other Motor Vehicle,No Pedestrian Involved,,4,22107,2022-03-08 08:59:00,"MACDONALD AVE AND 22ND ST, RICHMOND, CA",37.93572,-122.348568,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0002124,2022-03-08,09:52:00,MACDONALD AVE,16TH ST,Tuesday,,Ped R/W Violation,Misdemeanor,Vehicle - Pedestrian,Pedestrian,Crossing In Crosswalk At Intersection,,6,21950(a),2022-03-08 09:52:00,"MACDONALD AVE AND 16TH ST, RICHMOND, CA",37.9356,-122.35425,0.99,intersection,Richmond,CA,Contra Costa County,94801
2022-0002164,2022-03-09,11:55:00,2ND ST,BARRETT AVE,Wednesday,,Wrong Side of Road,No,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,5,21650,2022-03-09 11:55:00,"2ND ST AND BARRETT AVE, RICHMOND, CA",37.938411,-122.367536,0.99,intersection,Richmond,CA,Contra Costa County,94801
2022-0002211,2022-03-10,21:46:00,CASTRO RANCH RD,DEER RUN DR,Thursday,,Improper Turning,No,Hit Object,Fixed Object,No Pedestrian Involved,NORTHERN,9,22107,2022-03-10 21:46:00,"CASTRO RANCH RD AND DEER RUN DR, RICHMOND, CA",37.928538,-122.387183,1.0,street_center,Richmond,CA,Contra Costa County,94801
2022-0002214,2022-03-10,23:04:00,S 20TH ST,VIRGINIA AVE,Thursday,,Unsafe Speed,Felony,Rear-End,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,2,22350,2022-03-10 23:04:00,"S 20TH ST AND VIRGINIA AVE, RICHMOND, CA",37.926611,-122.350364,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0002258,2022-03-12,11:30:00,CARLSON BLVD,IMPERIAL AVE,Saturday,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,3,21453(a),2022-03-12 11:30:00,"CARLSON BLVD AND IMPERIAL AVE, RICHMOND, CA",37.911636,-122.318647,0.94,intersection,Richmond,CA,Contra Costa County,94804
2022-0002272,2022-03-21,21:17:00,BARRETT AVE,27TH ST,Monday,,Traffic Signals and Signs,Misdemeanor,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,21453(a),2022-03-21 21:17:00,"BARRETT AVE AND 27TH ST, RICHMOND, CA",37.937739,-122.342298,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0002277,2022-03-13,01:35:00,16TH ST,CHANSLOR AVE,Sunday,,Unsafe Speed,No,Rear-End,Parked Motor Vehicle,No Pedestrian Involved,,6,22350,2022-03-13 01:35:00,"16TH ST AND CHANSLOR AVE, RICHMOND, CA",37.93247,-122.354263,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0002383,2022-03-16,17:10:00,CUTTING BLVD,S 18TH ST,Wednesday,,Improper Turning,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,2,22107,2022-03-16 17:10:00,"CUTTING BLVD AND S 18TH ST, RICHMOND, CA",37.925198,-122.352143,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0002386,2022-03-16,18:09:00,SAN JOAQUIN ST,MODOC AVE,Wednesday,,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,3,22350,2022-03-16 18:09:00,"SAN JOAQUIN ST AND MODOC AVE, RICHMOND, CA",37.909165,-122.317244,1.0,street_center,Richmond,CA,Contra Costa County,94804
2022-0002389,2022-03-16,19:14:00,CARL AVE,SAN JOAQUIN ST,Wednesday,,Improper Turning,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,3,22107,2022-03-16 19:14:00,"CARL AVE AND SAN JOAQUIN ST, RICHMOND, CA",37.91312,-122.319782,0.87,intersection,Richmond,CA,Contra Costa County,94804
2022-0002390,2022-03-16,20:56:00,CUTTING BLVD,CARLSON BLVD,Wednesday,,Traffic Signals and Signs,No,Head-On,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,2,21453(a),2022-03-16 20:56:00,"CUTTING BLVD AND CARLSON BLVD, RICHMOND, CA",37.925173,-122.338017,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0002392,2022-03-16,18:35:00,RICHMOND PKWY,GOODRICK AVE,Wednesday,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,8,21453(a),2022-03-16 18:35:00,"RICHMOND PKWY AND GOODRICK AVE, RICHMOND, CA",37.947523,-122.384032,0.5,place,Richmond,CA,Contra Costa County,94801
2022-0002401,2022-03-17,04:12:00,RICHMOND PKWY,HENSLEY ST,Thursday,,Unsafe Lane Change,No,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,,5,21658(a),2022-03-17 04:12:00,"RICHMOND PKWY AND HENSLEY ST, RICHMOND, CA",37.946422,-122.366081,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0002417,2022-03-17,17:21:00,13TH ST,ESMOND AVE,Thursday,,Unsafe Lane Change,No,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,4,21658(a),2022-03-17 17:21:00,"13TH ST AND ESMOND AVE, RICHMOND, CA",37.94526,-122.357379,0.81,intersection,Richmond,CA,Contra Costa County,94801
2022-0002422,2022-03-17,18:39:00,RICHMOND PKWY,W OHIO AVE,Thursday,,Traffic Signals and Signs,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,1,21453(a),2022-03-17 18:39:00,"RICHMOND PKWY AND W OHIO AVE, RICHMOND, CA",37.947523,-122.384032,0.5,place,Richmond,CA,Contra Costa County,94801
2022-0002450,2022-03-18,16:54:00,HILLTOP DR,BLUME DR,Friday,,Unsafe Lane Change,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,8,21658(a),2022-03-18 16:54:00,"HILLTOP DR AND BLUME DR, RICHMOND, CA",37.947523,-122.384032,0.5,place,Richmond,CA,Contra Costa County,94801
2022-0002484,2022-03-20,00:17:00,BARRETT AVE,33RD ST,Sunday,,Auto R/W Violation,No,Not Stated,Motor Vehicle on Other Roadway,No Pedestrian Involved,NORTHERN,7,21801(a),2022-03-20 00:17:00,"BARRETT AVE AND 33RD ST, RICHMOND, CA",37.937021,-122.337202,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0002486,2022-03-20,03:06:00,BURBECK AVE,21ST ST,Sunday,,Improper Turning,No,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,4,22107,2022-03-20 03:06:00,"BURBECK AVE AND 21ST ST, RICHMOND, CA",37.942749,-122.349272,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0002488,2022-03-20,06:25:00,SANTA RITA RD,SYLVIA CT,Sunday,,Unsafe Speed,No,Rear-End,Parked Motor Vehicle,No Pedestrian Involved,NORTHERN,9,22350,2022-03-20 06:25:00,"SANTA RITA RD AND SYLVIA CT, RICHMOND, CA",37.965448,-122.291666,0.96,intersection,El Sobrante,CA,Contra Costa County,94803
2022-0002494,2022-03-20,13:00:00,VALLEY VIEW RD,MORNINGSIDE DR,Sunday,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,9,21453(a),2022-03-20 13:00:00,"VALLEY VIEW RD AND MORNINGSIDE DR, RICHMOND, CA",37.970466,-122.287599,0.8,intersection,El Sobrante,CA,Contra Costa County,94803
2022-0002509,2022-03-20,23:42:00,HILLTOP DR,ROBERT MILLER DR,Sunday,,Traffic Signals and Signs,Felony,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,8,21453(a),2022-03-20 23:42:00,"HILLTOP DR AND ROBERT MILLER DR, RICHMOND, CA",37.977786,-122.333837,0.71,intersection,San Pablo,CA,Contra Costa County,94806
2022-0002524,2022-03-21,10:04:00,MACDONALD AVE,27TH ST,Monday,,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,22350,2022-03-21 10:04:00,"MACDONALD AVE AND 27TH ST, RICHMOND, CA",37.935068,-122.342945,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0002531,2022-03-21,12:00:00,CENTRAL AVE,JACUZZI ST,Monday,,Wrong Side of Road,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,3,21650,2022-03-21 12:00:00,"CENTRAL AVE AND JACUZZI ST, RICHMOND, CA",37.901064,-122.309806,0.82,intersection,Richmond,CA,Contra Costa County,94804
2022-0002546,2022-03-21,15:00:00,VIRGINIA AVE,S 20TH ST,Monday,,Unsafe Speed,Misdemeanor,Not Stated,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,2,22350,2022-03-21 15:00:00,"VIRGINIA AVE AND S 20TH ST, RICHMOND, CA",37.926611,-122.350364,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0002556,2022-03-22,07:02:00,GARVIN AVE,32ND ST,Tuesday,,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,21802(a),2022-03-22 07:02:00,"GARVIN AVE AND 32ND ST, RICHMOND, CA",37.943639,-122.336475,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0002585,2022-03-22,18:27:00,13TH ST,RHEEM AVE,Tuesday,,Unknown,Misdemeanor,Rear-End,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,4,,2022-03-22 18:27:00,"13TH ST AND RHEEM AVE, RICHMOND, CA",37.949587,-122.357174,0.83,intersection,Richmond,CA,Contra Costa County,94801
2022-0002586,2022-03-22,21:15:00,GARVIN AVE,24TH ST,Tuesday,,Traffic Signals and Signs,No,Head-On,Parked Motor Vehicle,No Pedestrian Involved,NORTHERN,7,22450(a),2022-03-22 21:15:00,"GARVIN AVE AND 24TH ST, RICHMOND, CA",37.943635,-122.345432,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0002588,2022-03-22,16:54:00,MARINA WAY S,HALL AVE,Tuesday,,,Misdemeanor,Sideswipe,Not Stated,No Pedestrian Involved,SOUTHERN,1,20002,2022-03-22 16:54:00,"MARINA WAY S AND HALL AVE, RICHMOND, CA",37.913756,-122.355926,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0002596,2022-03-22,08:30:00,2ND ST,BARRETT AVE,Tuesday,,,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,5,10851,2022-03-22 08:30:00,"2ND ST AND BARRETT AVE, RICHMOND, CA",37.938411,-122.367536,0.99,intersection,Richmond,CA,Contra Costa County,94801
2022-0002619,2022-03-23,18:30:00,CIVIC CENTER ST,MACDONALD AVE,Wednesday,,Unknown,No,Sideswipe,Bicycle,No Pedestrian Involved,NORTHERN,7,,2022-03-23 18:30:00,"CIVIC CENTER ST AND MACDONALD AVE, RICHMOND, CA",37.936009,-122.344411,0.96,intersection,Richmond,CA,Contra Costa County,94804
2022-0002621,2022-03-23,17:04:00,CARLSON BLVD,IMPERIAL AVE,Wednesday,,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,3,21801(a),2022-03-23 17:04:00,"CARLSON BLVD AND IMPERIAL AVE, RICHMOND, CA",37.911636,-122.318647,0.94,intersection,Richmond,CA,Contra Costa County,94804
2022-0002628,2022-03-23,21:32:00,OHIO AVE,S 17TH ST,Wednesday,,Auto R/W Violation,Felony,Broadside,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,2,21802(a),2022-03-23 21:32:00,"OHIO AVE AND S 17TH ST, RICHMOND, CA",37.930766,-122.353055,0.92,intersection,Richmond,CA,Contra Costa County,94804
2022-0002637,2022-03-24,10:11:00,MAINE AVE,S 22ND ST,Thursday,,Wrong Side of Road,No,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,,2,21650,2022-03-24 10:11:00,"MAINE AVE AND S 22ND ST, RICHMOND, CA",37.928018,-122.348574,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0002655,2022-03-24,18:34:00,AMADOR ST,SOLANO AVE,Thursday,,Traffic Signals and Signs,No,Sideswipe,Bicycle,No Pedestrian Involved,NORTHERN,7,22450(a),2022-03-24 18:34:00,"AMADOR ST AND SOLANO AVE, RICHMOND, CA",37.943584,-122.323217,1.0,intersection,Richmond,CA,Contra Costa County,94805
2022-0002687,2022-03-25,18:44:00,2ND ST,BISSELL AVE,Friday,,Improper Turning,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,6,22107,2022-03-25 18:44:00,"2ND ST AND BISSELL AVE, RICHMOND, CA",37.934066,-122.367672,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0002694,2022-03-26,04:30:00,LANCASTER DR,DEL CAMINO DR,Saturday,,Improper Turning,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,NORTHERN,8,22107,2022-03-26 04:30:00,"LANCASTER DR AND DEL CAMINO DR, RICHMOND, CA",37.947523,-122.384032,0.5,place,Richmond,CA,Contra Costa County,94801
2022-0002701,2022-03-26,11:57:00,RHEEM AVE,23RD ST,Saturday,,Unknown,No,Not Stated,Not Stated,Not Stated,NORTHERN,4,,2022-03-26 11:57:00,"RHEEM AVE AND 23RD ST, RICHMOND, CA",37.949845,-122.347421,0.78,intersection,Richmond,CA,Contra Costa County,94804
2022-0002705,2022-03-26,15:47:00,22ND ST,BARRETT AVE,Saturday,,Traffic Signals and Signs,No,Broadside,Motor Vehicle on Other Roadway,No Pedestrian Involved,CENTRAL,4,21453(a),2022-03-26 15:47:00,"22ND ST AND BARRETT AVE, RICHMOND, CA",37.938468,-122.348544,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0002706,2022-03-26,15:36:00,GARVIN AVE,33RD ST,Saturday,,Improper Turning,Misdemeanor,Hit Object,Fixed Object,No Pedestrian Involved,NORTHERN,7,22107,2022-03-26 15:36:00,"GARVIN AVE AND 33RD ST, RICHMOND, CA",37.943643,-122.335581,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0002709,2022-03-26,18:11:00,S 22ND ST,MAINE AVE,Saturday,,Unsafe Speed,Misdemeanor,Broadside,Parked Motor Vehicle,No Pedestrian Involved,SOUTHERN,2,22350,2022-03-26 18:11:00,"S 22ND ST AND MAINE AVE, RICHMOND, CA",37.928018,-122.348574,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0002710,2022-03-26,19:50:00,ROOSEVELT AVE,19TH ST,Saturday,,Traffic Signals and Signs,Misdemeanor,Broadside,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,4,22450(a),2022-03-26 19:50:00,"ROOSEVELT AVE AND 19TH ST, RICHMOND, CA",37.939968,-122.351498,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0002716,2022-04-21,21:30:00,HARRISON DR,DON WAY,Thursday,,Unsafe Lane Change,No,Broadside,Parked Motor Vehicle,No Pedestrian Involved,,8,21658(a),2022-04-21 21:30:00,"HARRISON DR AND DON WAY, RICHMOND, CA",37.947523,-122.384032,0.5,place,Richmond,CA,Contra Costa County,94801
2022-0002736,2022-03-27,16:27:00,NEVIN AVE,24TH ST,Sunday,,Improper Turning,No,Rear-End,Bicycle,No Pedestrian Involved,NORTHERN,7,22107,2022-03-27 16:27:00,"NEVIN AVE AND 24TH ST, RICHMOND, CA",37.936698,-122.346099,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0002737,2022-03-27,22:20:00,BARRETT AVE,22ND ST,Sunday,,Ped R/W Violation,Felony,Head-On,Pedestrian,Crossing Not In Crosswalk,,4,21950(a),2022-03-27 22:20:00,"BARRETT AVE AND 22ND ST, RICHMOND, CA",37.938468,-122.348544,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0002739,2022-03-27,20:41:00,GARVIN AVE,23RD ST,Sunday,,Unsafe Lane Change,No,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,NORTHERN,4,21658(a),2022-03-27 20:41:00,"GARVIN AVE AND 23RD ST, RICHMOND, CA",37.943629,-122.347471,0.79,intersection,Richmond,CA,Contra Costa County,94804
2022-0002740,2022-03-27,20:00:00,RUMRILL BLVD,COSTA AVE,Sunday,,Unsafe Lane Change,No,Rear-End,Parked Motor Vehicle,No Pedestrian Involved,,4,21658(a),2022-03-27 20:00:00,"RUMRILL BLVD AND COSTA AVE, RICHMOND, CA",37.950334,-122.35713,0.99,intersection,San Pablo,CA,Contra Costa County,94806
2022-0002763,2022-03-28,15:50:00,S 33RD ST,CENTER AVE,Monday,,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,3,21802(a),2022-03-28 15:50:00,"S 33RD ST AND CENTER AVE, RICHMOND, CA",37.930174,-122.338449,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0002775,2022-03-28,23:02:00,24TH ST,GAYNOR AVE,Monday,,Lights,Misdemeanor,Broadside,Other Motor Vehicle,No Pedestrian Involved,,7,24250,2022-03-28 23:02:00,"24TH ST AND GAYNOR AVE, RICHMOND, CA",37.944361,-122.345434,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0002778,2022-03-29,02:19:00,13TH ST,CHANSLOR AVE,Tuesday,,Improper Turning,Misdemeanor,Rear-End,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,6,22107,2022-03-29 02:19:00,"13TH ST AND CHANSLOR AVE, RICHMOND, CA",37.932465,-122.357112,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0002791,2022-03-29,12:00:00,CARLSON BLVD,IMPERIAL AVE,Tuesday,,Unknown,Misdemeanor,Rear-End,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,3,,2022-03-29 12:00:00,"CARLSON BLVD AND IMPERIAL AVE, RICHMOND, CA",37.911636,-122.318647,0.94,intersection,Richmond,CA,Contra Costa County,94804
2022-0002827,2022-03-30,17:34:00,MACDONALD AVE,3RD ST,Wednesday,,Other Improper Driving,No,Other,Other Object,No Pedestrian Involved,CENTRAL,6,,2022-03-30 17:34:00,"MACDONALD AVE AND 3RD ST, RICHMOND, CA",37.935697,-122.366669,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0002873,2022-04-01,08:30:00,CUTTING BLVD,S 2ND ST,Friday,,Unsafe Speed,No,Hit Object,Fixed Object,No Pedestrian Involved,SOUTHERN,1,22350,2022-04-01 08:30:00,"CUTTING BLVD AND S 2ND ST, RICHMOND, CA",37.925256,-122.367966,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0002897,2022-04-02,02:00:00,23RD ST,22ND ST,Saturday,,Unsafe Lane Change,No,Head-On,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,4,21658(a),2022-04-02 02:00:00,"23RD ST AND 22ND ST, RICHMOND, CA",37.958793,-122.347837,0.91,intersection,San Pablo,CA,Contra Costa County,94806
2022-0002901,2022-04-02,10:12:00,CUTTING BLVD,S 49TH ST,Saturday,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,,3,21453(a),2022-04-02 10:12:00,"CUTTING BLVD AND S 49TH ST, RICHMOND, CA",37.925491,-122.32358,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0002906,2022-04-02,15:13:00,CARLSON BLVD,CUTTING BLVD,Saturday,,,Felony,Broadside,Bicycle,No Pedestrian Involved,SOUTHERN,2,21804,2022-04-02 15:13:00,"CARLSON BLVD AND CUTTING BLVD, RICHMOND, CA",37.925173,-122.338017,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0002915,2022-04-02,11:15:00,COTTAGE AVE,WASHINGTON AVE,Saturday,,Unsafe Starting or Backing,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,SOUTHERN,1,22106,2022-04-02 11:15:00,"COTTAGE AVE AND WASHINGTON AVE, RICHMOND, CA",37.927129,-122.384762,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0002917,2022-04-02,23:09:00,CUTTING BLVD,MARINA WAY S,Saturday,,Unsafe Speed,Felony,Head-On,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,2,22350,2022-04-02 23:09:00,"CUTTING BLVD AND MARINA WAY S, RICHMOND, CA",37.925204,-122.355873,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0002923,2022-04-03,00:07:00,17TH ST,CHANSLOR AVE,Sunday,,Traffic Signals and Signs,Misdemeanor,Not Stated,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,6,22450(a),2022-04-03 00:07:00,"17TH ST AND CHANSLOR AVE, RICHMOND, CA",37.93247,-122.353299,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0002925,2022-04-03,05:03:00,JOHN AVE,GIANT RD,Sunday,,Unknown,No,Not Stated,Not Stated,Not Stated,NORTHERN,21,,2022-04-03 05:03:00,"JOHN AVE AND GIANT RD, RICHMOND, CA",37.964753,-122.001487,0.8,intersection,Concord,CA,Contra Costa County,94521
2022-0002928,2022-04-03,10:00:00,MARKET AVE,4TH ST,Sunday,,Unsafe Lane Change,No,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,NORTHERN,99,21658(a),2022-04-03 10:00:00,"MARKET AVE AND 4TH ST, RICHMOND, CA",37.958695,-122.365117,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0002982,2022-04-04,19:06:00,20TH ST,PENNSYLVANIA AVE,Monday,,Improper Turning,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,4,22107,2022-04-04 19:06:00,"20TH ST AND PENNSYLVANIA AVE, RICHMOND, CA",37.942098,-122.350156,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0002996,2022-04-05,13:10:00,CARLSON BLVD,S 37TH ST,Tuesday,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,2,21453(a),2022-04-05 13:10:00,"CARLSON BLVD AND S 37TH ST, RICHMOND, CA",37.922654,-122.334569,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0002999,2022-04-05,14:30:00,RICHMOND PKWY,HILLTOP DR,Tuesday,,Driving Under Influence,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,8,23152(a),2022-04-05 14:30:00,"RICHMOND PKWY AND HILLTOP DR, RICHMOND, CA",37.987184,-122.339643,0.99,intersection,San Pablo,CA,Contra Costa County,94806
2022-0003003,2022-04-05,13:37:00,S 30TH ST,CUTTING BLVD,Tuesday,,Improper Turning,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,2,22107,2022-04-05 13:37:00,"S 30TH ST AND CUTTING BLVD, RICHMOND, CA",37.925187,-122.340524,0.98,intersection,Richmond,CA,Contra Costa County,94804
2022-0003013,2022-04-06,05:12:00,OHIO AVE,S 13TH ST,Wednesday,,Unsafe Speed,No,Head-On,Parked Motor Vehicle,No Pedestrian Involved,SOUTHERN,2,22350,2022-04-06 05:12:00,"OHIO AVE AND S 13TH ST, RICHMOND, CA",37.930772,-122.356932,0.93,intersection,Richmond,CA,Contra Costa County,94804
2022-0003042,2022-04-07,08:18:00,CARLSON BLVD,CUTTING BLVD,Thursday,,Improper Turning,No,Sideswipe,Fixed Object,No Pedestrian Involved,SOUTHERN,2,22107,2022-04-07 08:18:00,"CARLSON BLVD AND CUTTING BLVD, RICHMOND, CA",37.925173,-122.338017,1.0,intersection,Richmond,CA,Contra Costa County,94804
